A0 values for 22 given regions:

31	ACA	0.14
44	ILA	0.20
95	AI	0.23
254	RSP	0.15
329	SSp-bfd	0.13
337	SSp-ll	0.11
345	SSp-m	0.16
353	SSp-n	0.14
361	SSp-tr	0.09
369	SSp-ul	0.13
378	SSs	0.16
485	STRd	0.26
677	VISC	0.30
714	ORB	0.16
776	cc	0.18
972	PL	0.18
985	MOp	0.13
991	mfbs	0.17
993	MOs	0.10
1057	GU	0.16
1080	HIP	0.20
1098	SSp-u	0.13
