0	0	0	0	
0	0	0	0	
0	0	0	0	
1000	0.218098	0.975791	-0.0162998	
2500	0.0479983	0.85997	-0.508082	
1000	-0.601903	0.784904	-0.147101	
2500	-0.102295	0.721264	0.685065	
1000	0.817728	0.502517	0.28071	
2500	0.370398	0.441398	-0.817296	
1000	-0.816208	0.357203	-0.454104	
2500	-0.499304	0.359103	0.788506	
1000	0.73853	0.100904	0.666627	
2500	0.776321	0.0552015	-0.627917	
1000	0.275906	-0.935219	-0.221904	
2500	-0.410709	-0.797517	-0.44191	
1000	-0.600116	-0.722019	0.344309	
2500	0.397301	-0.650202	0.647602	
1000	0.762143	-0.548631	-0.343719	
2500	-0.347701	-0.379201	-0.857502	
1000	-0.925607	-0.321202	0.200202	
2500	0.218011	-0.283215	0.933949	
1000	0.987812	-0.155302	0.0104001	
2500	0.116302	-0.0965014	-0.988515	
1000	0.218098	0.975791	-0.0162998	
2500	0.0479983	0.85997	-0.508082	
1000	-0.601903	0.784904	-0.147101	
2500	-0.102295	0.721264	0.685065	
1000	0.817728	0.502517	0.28071	
2500	0.370398	0.441398	-0.817296	
1000	-0.816208	0.357203	-0.454104	
2500	-0.499304	0.359103	0.788506	
1000	0.73853	0.100904	0.666627	
2500	0.776321	0.0552015	-0.627917	
1000	0.275906	-0.935219	-0.221904	
2500	-0.410709	-0.797517	-0.44191	
1000	-0.600116	-0.722019	0.344309	
2500	0.397301	-0.650202	0.647602	
1000	0.762143	-0.548631	-0.343719	
2500	-0.347701	-0.379201	-0.857502	
1000	-0.925607	-0.321202	0.200202	
2500	0.218011	-0.283215	0.933949	
1000	0.987812	-0.155302	0.0104001	
2500	0.116302	-0.0965014	-0.988515	
